Player,Nation,Pos,SoT%,Squad,Comp,Age,MP,G/90,G/Sh,G/SoT,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assist,Cross,CrossCompleted,CrossComp%,Interception ,Tackle_Won,Tackle,Tackle_Won%,SucDribble,Dribble,DribbleComp%,DribblePast%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%,AerLost%,PasswHead,PasswHead%,PKwon,Blocks,BlkSh,BlkShSv,but_par_tir,but_par_tir_cadre,but_par_90min,tete_reussi,passe_avec_tete,pass_short_comp,pass_medium_comp,pass_long_comp,Dribbles_reussis,Dribles_passes,BlockPasse,BlockTir,Block,fautes,tacles_gagnes,carton_rouge,carton_jaune,Tir,Tete,Passe,Dribbles,Tacle,Note Finale,classement_equipe
Cristiano-Ronaldo,POR,FW,36.1,Manchester Utd,Premier League,37.0,30,0.66,0.14,0.38,3,3,18,887,718,80.95,86.2,81.9,68.3,3,12,0,0.0,1.39,8,10,80.0,19,36,52.78,2.14,8,0,16,26,0,48,58,45.36,0,40,4.51,0.07,0.44,0.07,0.0,75,74,93,74,55,75,78,79,64,21,98,59,60,60,64,94,97,81,64,77,42,79,66.0,1
Marko-Arnautovi?,AUT,FW,35.2,Bologna,Serie A,33.0,33,0.47,0.13,0.38,2,3,14,928,682,73.49,76.8,78.0,64.8,1,20,2,10.0,1.64,15,22,68.18,32,54,59.26,2.22,6,0,50,27,0,49,53,48.09,0,68,7.33,0.0,0.47,0.07,0.0,70,74,83,78,78,32,65,71,76,23,98,59,60,96,84,94,94,76,78,56,50,92,65.0,1
Karim-Benzema,FRA,FW,39.8,Real Madrid,La Liga,34.0,32,0.94,0.17,0.43,7,11,27,1250,1057,84.56,88.9,86.2,77.9,12,27,4,14.81,1.91,5,11,45.45,35,49,71.43,2.55,0,0,14,12,0,18,42,30.14,0,16,1.28,0.0,0.35,0.0,0.0,84,82,97,33,16,84,88,89,91,28,98,49,56,55,52,94,36,88,24,87,60,59,65.0,1
Riyad-Mahrez,ALG,FW,32.1,Manchester City,Premier League,31.0,28,0.66,0.13,0.39,4,5,11,932,769,82.51,89.3,86.4,58.7,5,54,6,11.11,1.57,6,10,60.0,26,44,59.09,3.57,0,0,10,18,0,12,16,42.86,0,17,1.82,0.0,0.96,0.06,0.0,70,76,93,67,21,85,88,62,75,45,98,56,68,46,56,94,36,77,43,76,58,56,64.0,1
Jonathan-David,CAN,FW,45.5,Lille,Ligue 1,22.0,38,0.48,0.2,0.43,2,3,15,667,527,79.01,83.6,81.1,72.1,0,16,4,25.0,1.09,19,27,70.37,34,52,65.38,2.15,3,0,28,47,0,30,75,28.57,0,34,5.1,0.0,0.58,0.16,0.0,90,82,84,29,61,64,76,83,85,22,98,79,69,80,90,94,81,85,45,74,54,86,64.0,1
Luuk-de-Jong,NED,FW,34.6,Barcelona,La Liga,31.0,21,0.82,0.23,0.67,0,0,6,189,140,74.07,78.6,68.0,83.3,0,0,0,,1.37,10,10,100.0,4,7,57.14,7.86,1,0,9,15,0,36,22,62.09,0,12,6.35,0.0,0.41,0.14,0.0,94,96,96,93,72,41,31,92,72,68,98,76,56,44,70,94,55,81,70,46,60,56,64.0,1
Leonardo-Pavoletti,ITA,FW,30.6,Cagliari,Serie A,33.0,33,0.3,0.14,0.45,0,0,5,508,334,65.75,73.4,53.4,67.6,1,7,0,0.0,1.18,8,15,53.33,4,8,50.0,3.75,9,0,47,33,0,149,121,55.19,1,64,12.6,0.06,1.07,0.36,0.0,75,85,64,89,93,21,12,78,57,47,98,94,85,95,64,94,99,75,91,37,52,88,64.0,1
Andrea-Petagna,ITA,FW,46.2,Napoli,Serie A,26.0,24,0.46,0.23,0.5,0,0,3,160,117,73.12,84.4,75.5,46.7,1,6,0,0.0,1.38,4,4,100.0,11,18,61.11,9.39,1,0,16,16,0,14,20,41.11,0,8,5.0,0.0,0.15,0.0,0.0,94,91,83,63,61,67,56,33,80,72,98,49,49,60,48,94,55,80,56,47,68,58,63.0,1
Robert-Lewandowski,POL,FW,49.0,Bayern Munich,Bundesliga,33.0,34,1.07,0.19,0.39,5,5,35,769,589,76.59,82.2,78.0,58.5,3,29,3,10.34,1.07,8,11,72.73,34,65,52.31,1.74,2,0,25,44,0,70,73,48.97,0,29,3.77,0.03,0.73,0.12,0.0,88,76,98,79,46,57,65,62,62,13,98,71,70,75,64,94,70,87,62,61,38,76,62.0,1
Elba-Rashani,KVX,FWMF,40.0,Clermont Foot,Ligue 1,29.0,29,0.41,0.27,0.67,0,0,8,573,442,77.14,87.7,76.5,52.6,3,29,6,20.69,1.38,28,39,71.79,20,37,54.05,2.92,3,0,40,30,0,24,45,34.75,0,25,4.36,0.0,2.0,0.21,0.0,96,96,78,45,54,81,60,48,67,36,98,85,90,91,97,94,81,88,49,62,51,89,62.0,1
Raúl-de-Tomás,ESP,FW,39.6,Espanyol,La Liga,27.0,34,0.52,0.12,0.3,5,5,17,741,612,82.59,90.4,84.6,69.5,3,29,5,17.24,0.77,6,17,35.29,45,73,61.64,1.99,7,2,41,64,0,34,55,38.18,0,18,2.43,0.03,0.83,0.19,0.0,66,62,87,55,30,88,84,80,81,18,98,84,76,92,56,100,96,72,42,84,50,86,62.0,1
Alexis-Sánchez,CHI,FW,39.4,Inter,Serie A,33.0,27,0.51,0.15,0.38,0,0,5,456,354,77.63,88.8,79.7,61.1,2,14,4,28.57,1.94,11,12,91.67,24,33,72.73,8.03,0,0,11,28,0,12,25,32.36,0,5,1.1,0.0,0.2,0.0,0.0,78,74,86,37,16,84,70,66,91,69,98,49,52,48,74,94,36,75,25,70,76,60,62.0,1
Habib-Diallo,SEN,FW,44.0,Strasbourg,Ligue 1,26.0,31,0.64,0.18,0.41,2,2,11,373,267,71.58,78.6,71.0,65.2,1,8,3,37.5,1.11,7,9,77.78,20,41,48.78,3.71,2,0,19,27,0,53,64,45.32,0,15,4.02,0.0,0.88,0.41,0.0,86,79,92,74,50,41,41,72,48,46,98,96,81,66,61,94,70,86,62,51,47,73,62.0,2
Olivier-Giroud,FRA,FW,37.7,Milan,Serie A,35.0,29,0.52,0.15,0.39,2,2,11,486,336,69.14,75.3,60.7,66.7,3,4,1,25.0,1.1,11,17,64.71,3,6,50.0,2.33,4,0,34,25,0,98,69,58.67,0,48,9.88,0.0,0.9,0.29,0.0,78,76,87,92,87,28,17,77,57,25,98,91,79,87,74,94,87,79,88,40,40,84,62.0,1
Ludovic-Ajorque,REU,FW,40.7,Strasbourg,Ligue 1,28.0,36,0.39,0.15,0.38,3,3,12,910,669,73.52,79.7,73.2,67.5,8,18,5,27.78,1.58,25,46,54.35,15,31,48.39,2.03,5,1,40,37,1,154,120,56.21,0,62,6.81,0.07,0.79,0.16,0.0,78,74,77,90,75,44,48,77,47,19,98,79,74,91,96,99,90,76,82,56,33,94,62.0,1
Sambou-Soumano,SEN,FW,22.2,Lorient,Ligue 1,21.0,21,0.6,0.17,0.75,0,0,3,92,62,67.39,78.3,69.6,53.8,0,3,1,33.33,0.6,1,3,33.33,11,15,73.33,14.67,1,0,14,11,0,17,22,43.59,0,6,6.52,0.0,0.8,0.0,0.0,84,97,91,70,73,38,36,51,91,80,98,49,54,55,27,94,55,77,61,35,73,49,62.0,1
Hugo-Ekitike,FRA,FW,55.2,Reims,Ligue 1,19.0,24,0.71,0.31,0.56,1,2,10,406,289,71.18,76.8,74.5,52.2,3,10,2,20.0,1.84,13,17,76.47,30,50,60.0,4.82,1,1,19,33,0,31,38,44.9,0,22,5.42,0.14,0.99,0.14,0.0,98,93,95,73,64,32,51,47,79,56,98,76,70,66,79,99,55,86,62,39,61,67,62.0,1
Antonín-Barák,CZE,FWMF,41.7,Hellas Verona,Serie A,27.0,29,0.42,0.15,0.35,4,4,11,1110,889,80.09,86.1,82.9,64.5,4,17,1,5.88,1.77,17,26,65.38,24,45,53.33,2.22,4,0,31,23,0,53,80,39.84,0,49,4.41,0.04,1.69,0.23,0.0,78,71,79,60,54,74,80,71,66,23,98,87,89,83,86,94,87,75,56,74,44,86,62.0,1
Nils-Petersen,GER,FWMF,33.3,Freiburg,Bundesliga,33.0,22,0.78,0.33,1.0,0,0,5,143,95,66.43,74.1,66.7,57.1,1,2,1,50.0,0.31,4,8,50.0,5,7,71.43,11.14,0,0,3,4,0,26,59,30.57,1,17,11.89,0.0,1.88,0.16,0.0,98,100,95,34,92,23,28,59,91,76,98,79,77,28,48,94,36,85,55,32,72,45,61.0,1
Matheus-Cunha,BRA,FW,38.9,Atlético Madrid,La Liga,23.0,29,0.51,0.17,0.43,0,0,6,233,168,72.1,81.0,78.1,50.0,4,8,0,0.0,1.19,17,26,65.38,7,13,53.85,5.23,3,0,28,32,0,28,85,24.76,1,15,6.44,0.17,1.27,0.34,0.0,84,82,86,22,73,52,66,45,67,59,98,94,87,80,86,94,81,83,47,53,62,84,61.0,1
Gabriel-Jesus,BRA,FW,33.3,Manchester City,Premier League,25.0,28,0.38,0.11,0.33,1,1,8,757,636,84.02,89.7,84.6,70.0,8,27,6,22.22,1.29,12,24,50.0,40,61,65.57,3.52,1,0,30,31,0,21,41,33.78,0,16,2.11,0.1,1.2,0.05,0.0,63,69,76,43,25,86,84,81,86,45,98,53,70,82,77,94,55,67,33,81,63,74,61.0,2
Abdón-Prats,ESP,FW,36.8,Mallorca,La Liga,29.0,23,0.42,0.16,0.43,0,0,3,157,103,65.61,73.8,68.4,53.8,0,4,0,0.0,1.55,3,3,100.0,8,13,61.54,9.77,3,0,11,17,0,34,35,49.28,0,16,10.19,0.0,0.85,0.0,0.0,81,82,79,80,88,22,33,51,81,73,98,49,57,48,42,94,81,71,74,31,68,59,61.0,1
Erling-Haaland,NOR,FW,41.9,Dortmund,Bundesliga,21.0,24,1.04,0.22,0.52,6,6,22,474,340,71.73,76.2,69.7,60.0,8,8,0,0.0,1.27,2,2,100.0,11,21,52.38,2.9,3,0,17,17,0,50,41,55.01,0,34,7.17,0.0,0.57,0.05,0.0,93,92,98,89,77,30,37,65,63,36,98,53,54,61,35,94,81,85,75,40,45,61,61.0,1
Karl-Toko-Ekambi,CMR,FW,48.6,Lyon,Ligue 1,29.0,30,0.47,0.14,0.28,2,2,12,946,753,79.6,86.5,81.6,62.4,5,56,16,28.57,1.53,6,14,42.86,47,95,49.47,2.36,3,0,18,16,0,32,25,56.05,0,27,2.85,0.0,1.22,0.0,0.0,75,56,83,90,35,77,77,67,50,25,98,49,72,63,56,94,81,71,62,74,38,74,61.0,1
Edin-D?eko,BIH,FW,40.2,Inter,Serie A,36.0,36,0.47,0.15,0.37,0,0,13,815,579,71.04,74.9,76.6,67.9,6,37,8,21.62,2.01,18,23,78.26,19,39,48.72,2.15,2,0,28,44,0,95,80,54.3,0,44,5.4,0.07,0.88,0.26,0.0,78,72,83,88,63,25,61,78,48,22,98,90,79,80,89,94,70,78,76,55,35,83,61.0,2
Hugo-Duro,ESP,FWMF,48.4,Valencia,La Liga,22.0,30,0.34,0.23,0.47,0,0,7,391,281,71.87,79.1,72.8,40.7,1,8,0,0.0,0.59,20,31,64.52,13,24,54.17,2.88,3,1,32,47,0,48,86,35.77,0,44,11.25,0.1,1.47,0.1,0.0,94,86,69,48,91,42,47,25,67,35,98,66,81,85,91,99,81,83,70,38,51,89,60.0,1
Milan-?uri?,BIH,FW,38.0,Salernitana,Serie A,32.0,33,0.21,0.08,0.21,1,1,5,681,426,62.56,62.8,63.1,64.3,4,7,0,0.0,1.29,4,6,66.67,11,17,64.71,2.94,6,0,29,48,0,298,116,72.05,0,122,17.91,0.04,0.41,0.12,0.0,51,47,53,97,97,7,20,71,85,37,98,71,64,81,48,94,94,50,97,33,61,79,60.0,1
Ruslan-Malinovskyi,UKR,FWMF,29.3,Atalanta,Serie A,29.0,30,0.34,0.1,0.35,0,0,6,918,677,73.75,85.3,81.7,53.6,5,33,7,21.21,2.43,15,27,55.56,37,66,56.06,3.33,10,0,44,48,0,24,29,45.33,0,23,2.51,0.0,1.3,0.23,0.0,59,71,69,74,31,71,77,50,70,43,98,87,86,94,84,94,99,66,52,66,56,93,60.0,1
Raúl-García,ESP,FW,27.3,Athletic Club,La Liga,35.0,35,0.3,0.14,0.5,0,1,6,595,372,62.52,71.8,63.3,44.0,2,19,3,15.79,1.25,18,24,75.0,8,14,57.14,2.86,3,0,50,35,0,78,85,47.85,0,86,14.45,0.0,1.65,0.25,0.0,75,91,64,78,96,18,21,29,72,35,98,89,90,96,89,94,81,77,87,23,54,90,60.0,1
Tammy-Abraham,ENG,FW,34.4,Roma,Serie A,24.0,37,0.5,0.15,0.44,3,3,17,692,500,72.25,76.2,69.2,80.0,4,24,4,16.67,1.02,22,34,64.71,37,76,48.68,1.5,9,0,43,50,0,82,99,45.27,0,66,9.54,0.03,0.96,0.32,0.0,78,84,85,74,86,30,35,91,47,9,98,93,83,93,93,94,99,82,80,52,28,95,60.0,1
Alexander-Sørloth,NOR,FW,32.4,Real Sociedad,La Liga,26.0,33,0.2,0.11,0.33,0,0,4,464,337,72.63,78.9,72.3,62.5,0,9,2,22.22,0.87,15,25,60.0,28,56,50.0,2.91,2,0,34,19,0,71,60,54.19,0,31,6.68,0.1,0.66,0.05,0.0,63,69,51,88,74,41,45,68,57,36,98,53,62,87,84,94,70,61,81,51,46,84,60.0,1
Mohamed-Bayo,GUI,FW,41.9,Clermont Foot,Ligue 1,23.0,32,0.52,0.19,0.46,2,3,14,544,399,73.35,75.1,78.6,71.1,5,9,0,0.0,1.34,8,14,57.14,33,55,60.0,2.31,1,0,21,6,0,46,70,39.72,0,13,2.39,0.0,0.56,0.07,0.0,88,85,87,59,30,27,67,82,79,24,98,59,62,69,64,94,55,87,44,59,52,70,60.0,2
Hwang-Hee-chan,KOR,FWMF,41.4,Wolves,Premier League,26.0,30,0.25,0.17,0.42,0,0,5,626,508,81.15,84.8,85.6,73.0,1,10,0,0.0,0.99,14,28,50.0,31,58,53.45,2.81,2,0,32,44,0,10,32,24.04,0,27,4.31,0.0,0.69,0.0,0.0,84,80,58,21,53,69,85,85,66,33,98,49,61,85,81,94,70,74,37,80,50,82,60.0,1
José-Callejón,ESP,FW,35.3,Fiorentina,Serie A,35.0,30,0.07,0.06,0.17,0,0,1,620,487,78.55,86.4,82.5,56.4,2,34,7,20.59,1.88,15,20,75.0,8,12,66.67,4.67,0,0,3,19,0,11,16,40.64,0,25,4.03,0.0,0.63,0.07,0.0,43,42,35,62,51,76,79,58,89,55,98,59,63,28,84,94,36,40,56,71,72,60,60.0,1
Moussa-Dembélé,FRA,FW,44.0,Lyon,Ligue 1,25.0,30,0.86,0.19,0.43,5,5,21,444,309,69.59,75.6,69.4,42.9,4,8,1,12.5,1.1,11,17,64.71,27,49,55.1,2.41,6,0,29,20,0,67,65,50.74,0,22,4.95,0.12,0.98,0.16,0.0,88,82,97,85,60,28,35,28,69,26,98,79,78,81,74,94,94,89,72,30,48,86,60.0,2
Hirving-Lozano,MEX,FW,37.3,Napoli,Serie A,26.0,30,0.28,0.1,0.26,0,0,5,599,468,78.13,84.2,83.1,64.3,5,43,15,34.88,1.62,14,30,46.67,25,40,62.5,3.78,3,0,32,39,0,11,18,37.65,0,20,3.34,0.06,1.51,0.0,0.0,59,53,61,53,41,65,80,71,83,47,98,49,76,85,81,94,81,58,47,72,65,85,60.0,2
Dries-Mertens,BEL,FWMF,43.2,Napoli,Serie A,35.0,30,0.71,0.23,0.53,1,1,11,552,414,75.0,82.2,80.3,53.8,1,17,3,17.65,1.69,11,13,84.62,12,22,54.55,3.82,2,0,29,24,0,4,18,18.18,0,20,3.62,0.13,0.39,0.13,0.0,94,92,95,14,44,57,73,51,68,47,98,74,64,81,74,94,70,94,29,60,58,80,60.0,3
Serge-Gnabry,GER,FWDF,38.2,Bayern Munich,Bundesliga,26.0,34,0.58,0.21,0.54,0,0,14,1352,1068,78.99,84.9,81.7,55.5,5,77,15,19.48,3.99,34,50,68.0,65,101,64.36,2.81,0,0,13,24,0,6,34,15.15,0,35,2.59,0.0,1.23,0.0,0.0,91,93,90,10,32,69,77,55,85,33,98,49,72,52,99,94,36,91,21,67,59,70,60.0,2
Sebastian-Polter,GER,FW,38.9,Bochum,Bundesliga,31.0,33,0.38,0.17,0.43,1,2,10,518,294,56.76,61.9,57.9,40.5,1,10,1,10.0,1.65,8,9,88.89,9,15,60.0,2.33,2,0,79,37,0,133,134,49.85,0,76,14.67,0.08,0.54,0.19,0.0,84,82,76,80,96,6,14,24,79,25,98,84,69,99,64,94,70,81,88,15,52,82,59.0,1
Taiwo-Awoniyi,NGA,FW,45.5,Union Berlin,Bundesliga,24.0,31,0.62,0.2,0.43,2,2,15,483,333,68.94,77.0,70.7,56.4,1,9,3,33.33,1.16,9,17,52.94,31,57,54.39,2.54,1,0,29,26,1,58,145,28.61,0,41,8.49,0.04,0.7,0.17,0.0,90,82,92,30,82,33,39,58,68,28,98,81,72,81,68,94,55,88,56,43,48,74,59.0,1
João-Félix,POR,FWMF,38.5,Atlético Madrid,La Liga,22.0,24,0.57,0.21,0.53,0,0,8,462,342,74.03,86.8,72.2,52.9,4,18,3,16.67,1.93,5,6,83.33,26,50,52.0,3.72,3,1,17,67,0,24,27,46.98,0,17,3.68,0.0,0.29,0.07,0.0,91,92,90,76,45,78,44,49,62,47,98,59,53,61,52,99,81,82,54,51,49,66,59.0,2
Stéphane-Bahoken,CMR,FW,58.3,Angers,Ligue 1,30.0,29,0.25,0.13,0.21,0,0,3,220,169,76.82,78.7,83.3,70.0,1,8,3,37.5,0.74,8,16,50.0,9,14,64.29,5.86,0,0,27,16,0,22,47,31.86,0,8,3.64,0.0,1.23,0.0,0.0,70,47,58,36,45,41,82,81,84,63,98,49,71,78,64,94,36,57,40,67,72,67,59.0,1
Patrik-Schick,CZE,FW,47.7,Leverkusen,Bundesliga,26.0,27,1.04,0.26,0.55,1,2,24,408,291,71.32,76.0,75.4,71.9,3,3,0,0.0,1.17,2,5,40.0,18,41,43.9,2.0,0,0,15,26,0,64,86,42.68,0,28,6.86,0.0,0.52,0.13,0.0,95,93,98,67,75,29,55,83,34,19,98,74,62,57,35,94,36,91,67,53,25,53,59.0,2
Florian-Sotoca,FRA,FWMF,33.8,Lens,Ligue 1,31.0,35,0.22,0.06,0.17,2,2,6,1193,907,76.03,78.6,79.4,72.6,4,42,10,23.81,2.17,20,37,54.05,24,43,55.81,2.02,7,0,41,34,0,94,49,65.7,0,68,5.7,0.0,1.27,0.14,0.0,43,42,54,95,67,41,70,84,70,19,98,76,82,92,91,94,96,46,81,65,44,93,59.0,1
Davie-Selke,GER,FW,39.1,Hertha BSC,Bundesliga,27.0,25,0.36,0.13,0.33,1,1,4,234,139,59.4,64.7,59.7,53.8,0,6,2,33.33,1.34,6,7,85.71,5,8,62.5,5.62,2,0,34,21,0,83,65,56.09,0,26,11.11,0.0,1.25,0.09,0.0,70,69,72,90,91,8,15,51,83,61,98,64,71,87,56,94,70,64,83,23,66,70,59.0,1
Radamel-Falcao,COL,FW,45.5,Rayo Vallecano,La Liga,36.0,22,0.65,0.18,0.4,0,0,6,174,133,76.44,79.3,79.4,85.7,0,3,1,33.33,0.54,1,3,33.33,3,6,50.0,5.33,1,0,20,18,0,34,45,43.06,0,7,4.02,0.0,0.54,0.11,0.0,86,78,92,68,50,43,70,93,57,60,98,69,56,67,27,94,55,74,51,60,51,53,59.0,1
Kalifa-Coulibaly,MLI,FW,40.7,Nantes,Ligue 1,30.0,21,0.53,0.19,0.45,0,0,5,203,120,59.11,70.0,36.5,71.4,0,3,1,33.33,1.06,5,6,83.33,2,4,50.0,8.0,1,0,12,8,0,70,41,63.08,0,20,9.85,0.0,0.32,0.11,0.0,88,85,88,94,87,15,8,83,57,69,98,69,53,50,52,94,55,74,77,30,54,53,59.0,1
Romelu-Lukaku,BEL,FW,31.0,Chelsea,Premier League,29.0,26,0.45,0.17,0.54,1,1,8,320,233,72.81,81.6,68.3,58.8,0,9,0,0.0,1.36,3,5,60.0,15,29,51.72,3.69,1,0,8,14,0,48,50,49.01,0,12,3.75,0.17,0.56,0.17,0.0,84,93,82,79,46,54,32,63,61,46,98,81,64,41,42,94,55,81,58,46,50,54,59.0,1
Lionel-Messi,ARG,FWMF,31.5,Paris S-G,Ligue 1,34.0,26,0.25,0.07,0.21,0,0,6,1667,1414,84.82,89.5,88.8,73.5,14,18,5,27.78,3.39,7,10,70.0,70,108,64.81,3.02,0,0,8,38,0,6,2,75.76,0,11,0.66,0.0,0.33,0.0,0.0,46,47,58,97,14,85,90,85,85,38,98,49,52,41,61,94,36,47,52,81,57,54,59.0,1
Kai-Havertz,GER,FWMF,41.1,Chelsea,Premier League,22.0,29,0.4,0.14,0.35,0,0,8,669,547,81.76,88.2,77.7,85.3,3,20,1,5.0,1.24,13,21,61.9,21,43,48.84,2.77,3,0,43,31,0,40,61,39.64,0,15,2.24,0.05,1.84,0.05,0.0,75,71,77,59,28,82,64,93,48,33,98,53,79,93,79,94,81,73,43,78,40,85,58.0,2
Gastón-Pereiro,URU,FWMF,42.9,Cagliari,Serie A,26.0,29,0.37,0.19,0.44,0,0,4,368,234,63.59,75.0,67.7,47.4,2,28,5,17.86,2.22,4,9,44.44,11,18,61.11,6.67,1,0,18,9,0,25,36,40.96,0,10,2.72,0.0,1.2,0.09,0.0,88,84,74,62,34,27,30,34,80,66,98,64,75,63,48,94,55,81,47,30,72,64,58.0,2
Nicolás-González,ARG,FW,29.0,Fiorentina,Serie A,24.0,33,0.27,0.06,0.2,3,3,7,940,704,74.89,76.4,79.3,75.8,6,55,12,21.82,1.18,20,28,71.43,63,123,51.22,2.05,4,1,34,113,0,82,66,55.4,0,60,6.38,0.11,1.15,0.08,0.0,43,45,61,89,72,31,69,87,59,20,98,61,75,87,91,99,87,50,80,62,40,91,58.0,2
Sadio-Mané,SEN,FW,37.4,Liverpool,Premier League,30.0,34,0.51,0.16,0.43,0,0,16,1093,821,75.11,83.1,74.6,76.1,2,51,6,11.76,2.46,18,33,54.55,49,82,59.76,2.02,5,0,52,61,0,29,54,34.96,0,23,2.1,0.03,1.15,0.13,0.0,81,82,86,46,25,61,52,88,76,19,98,74,79,96,89,94,90,83,36,67,48,92,58.0,1
Josh-Sargent,USA,FWMF,7.7,Norwich City,Premier League,22.0,26,0.11,0.08,1.0,0,0,2,402,297,73.88,82.7,71.6,63.2,1,13,0,0.0,1.14,17,34,50.0,18,34,52.94,3.03,1,0,13,29,0,42,53,44.2,0,31,7.71,0.0,2.46,0.11,0.0,51,100,38,71,79,60,43,69,65,39,98,69,81,52,86,94,55,59,70,54,49,67,58.0,1
