Player,Nation,Pos,SoT%,Squad,Comp,Age,MP,G/90,G/Sh,G/SoT,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assist,Cross,CrossCompleted,CrossComp%,Interception ,Tackle_Won,Tackle,Tackle_Won%,SucDribble,Dribble,DribbleComp%,DribblePast%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%,AerLost%,PasswHead,PasswHead%,PKwon,Blocks,BlkSh,BlkShSv,but_par_tir,but_par_tir_cadre,but_par_90min,tete_reussi,passe_avec_tete,pass_short_comp,pass_medium_comp,pass_long_comp,Dribbles_reussis,Dribles_passes,BlockPasse,BlockTir,Block,fautes,tacles_gagnes,carton_rouge,carton_jaune,Tir,Tete,Passe,Dribbles,Tacle,Note Finale,classement_equipe
Dante,BRA,DF,15.4,Nice,Ligue 1,38.0,34,0.0,0.0,0.0,0,0,0,2366,2146,90.7,96.1,94.6,76.5,0,3,1,33.33,1.13,28,48,1866.67,7,8,87.5,2.75,7,3,24,12,0,66,24,73.4,0,59,2.49,0.03,1.76,0.97,0.0,60,60,60,90,19,93,89,87,88,36,84,87,74,71,82,100,91,60,54,90,62,86,76.0,1
Thiago-Silva,BRA,DF,27.8,Chelsea,Premier League,37.0,32,0.1,0.17,0.6,0,0,3,2529,2350,92.92,96.7,96.3,81.4,0,1,0,0.0,0.99,23,36,1885.25,4,6,66.67,2.83,2,0,13,15,0,68,32,67.94,0,91,3.6,0.03,2.21,1.05,0.1,89,91,87,82,38,93,94,92,70,38,98,90,88,45,72,85,49,89,60,93,54,63,76.0,1
Nikola-Milenkovi?,SRB,DF,39.1,Fiorentina,Serie A,24.0,34,0.03,0.04,0.11,0,0,1,2097,1882,89.75,88.7,95.4,81.7,0,2,0,0.0,1.14,25,46,1760.56,2,3,66.67,3.0,10,1,49,24,0,125,38,76.69,0,108,5.15,0.0,1.32,0.52,0.0,63,61,64,94,66,47,92,92,70,42,84,57,54,98,77,98,98,63,80,77,56,93,76.0,1
Ronald-Araújo,URU,DF,52.6,Barcelona,La Liga,23.0,30,0.16,0.21,0.4,0,0,4,1646,1487,90.34,95.1,94.5,74.3,0,5,2,40.0,0.99,33,49,1701.03,6,12,50.0,2.0,6,0,24,13,0,72,26,73.52,0,46,2.79,0.0,1.98,0.83,0.04,93,80,94,91,23,91,88,81,39,16,89,80,78,71,87,85,87,89,57,87,28,82,76.0,1
Andrei-Girotto,BRA,DFMF,22.2,Nantes,Ligue 1,30.0,36,0.17,0.13,0.6,0,0,6,1695,1395,82.3,88.3,87.0,67.7,1,6,2,33.33,1.29,51,101,1764.71,6,9,66.67,2.22,8,0,59,28,0,109,79,57.91,0,122,7.2,0.0,2.23,0.97,0.0,83,91,95,52,86,43,53,70,70,22,84,87,83,99,98,85,94,90,69,55,46,94,75.0,2
Luiz-Felipe,ITA,DF,20.0,Lazio,Serie A,25.0,31,0.0,0.0,0.0,0,0,0,1816,1672,92.07,93.2,94.6,83.4,0,2,0,0.0,1.08,25,50,1381.22,3,4,75.0,2.75,9,1,31,21,0,56,44,55.96,0,52,2.86,0.04,2.02,1.3,0.07,60,60,60,48,24,82,89,94,79,36,96,94,86,84,77,98,96,60,36,88,58,89,75.0,1
Robin-Le-Normand,FRA,DF,22.2,Real Sociedad,La Liga,25.0,37,0.03,0.06,0.25,0,0,1,2109,1887,89.47,89.9,93.3,81.1,1,0,0,,0.38,27,46,2177.42,3,4,75.0,2.75,6,0,41,22,0,143,53,72.97,0,110,5.22,0.0,1.35,0.62,0.0,67,70,64,90,66,57,83,92,79,36,84,64,57,95,80,85,87,67,78,77,58,87,75.0,1
Amir-Rrahmani,KVX,DF,40.9,Napoli,Serie A,28.0,33,0.12,0.18,0.44,0,0,4,2000,1828,91.4,94.0,94.6,78.4,0,2,0,0.0,0.43,21,35,1944.44,4,5,80.0,2.4,5,0,25,25,0,97,41,70.28,0,88,4.4,0.0,1.54,0.8,0.0,89,82,90,86,54,87,89,89,83,25,84,78,65,73,66,85,81,87,70,88,54,76,75.0,1
Pascal-Struijk,NED,DF,27.3,Leeds United,Premier League,22.0,29,0.04,0.09,0.33,0,0,1,1215,1059,87.16,91.3,93.2,71.4,0,0,0,,1.32,35,68,1174.5,4,6,66.67,3.0,6,1,29,10,0,47,36,56.59,0,54,4.44,0.0,2.5,1.18,0.0,75,78,70,49,55,68,82,77,70,42,84,93,87,81,89,98,87,73,51,74,55,87,75.0,1
Romain-Saïss,MAR,DF,33.3,Wolves,Premier League,32.0,31,0.07,0.11,0.33,0,0,2,1716,1413,82.34,91.1,88.4,60.4,0,7,0,0.0,1.83,38,60,1909.55,5,8,62.5,2.5,6,0,35,18,0,84,43,66.11,0,99,5.77,0.0,2.03,0.8,0.0,79,78,81,76,73,66,59,54,61,29,84,78,77,90,92,85,87,79,74,60,45,88,75.0,1
Konstantinos-Mavropanos,GRE,DF,33.3,Stuttgart,Bundesliga,24.0,31,0.13,0.12,0.36,0,0,4,1827,1479,80.95,89.5,86.3,68.1,0,7,1,14.29,1.79,39,71,1652.54,17,29,58.62,2.17,3,0,25,20,0,121,27,81.71,0,77,4.21,0.0,2.79,1.03,0.03,80,78,91,95,51,54,49,71,52,20,87,89,90,73,92,85,61,83,73,58,36,78,75.0,1
Merih-Demiral,TUR,DF,24.0,Atalanta,Serie A,24.0,28,0.05,0.04,0.17,0,0,1,805,703,87.33,88.4,91.6,79.4,2,1,0,0.0,0.47,25,40,1329.79,2,4,50.0,2.25,8,0,28,16,0,98,38,72.1,0,46,5.71,0.0,1.92,0.7,0.05,63,64,74,89,72,44,73,90,39,22,92,70,72,79,77,85,94,65,78,67,29,81,74.0,2
Mattia-Caldara,ITA,DF,43.8,Venezia,Serie A,28.0,31,0.03,0.06,0.14,0,0,1,1154,940,81.46,89.3,87.9,65.7,0,2,0,0.0,0.87,34,59,1725.89,3,5,60.0,2.0,9,0,30,23,0,75,65,53.53,0,72,6.24,0.03,2.57,1.37,0.0,67,63,64,43,78,53,56,65,56,16,84,95,89,83,88,85,96,65,60,58,36,88,74.0,1
Norbert-Gyömbér,SVK,DF,22.2,Salernitana,Serie A,29.0,31,0.0,0.0,0.0,0,0,0,1059,826,78.0,86.8,83.4,60.2,0,15,4,26.67,0.77,38,59,1835.75,2,3,66.67,2.33,9,0,50,17,0,60,29,67.41,0,72,6.8,0.0,2.0,0.98,0.04,60,60,60,81,83,32,40,53,70,24,89,87,81,98,92,85,96,60,82,42,47,93,74.0,1
Adama-Soumaoro,FRA,DF,14.3,Bologna,Serie A,29.0,28,0.0,0.0,0.0,0,0,0,1055,947,89.76,91.4,92.3,84.1,0,3,1,33.33,0.48,12,17,1791.04,6,8,75.0,3.0,6,2,25,13,1,61,16,79.34,0,72,6.82,0.0,1.39,0.71,0.0,60,60,60,95,84,69,77,94,79,42,84,72,59,73,44,99,87,58,87,77,58,73,74.0,1
Florian-Lejeune,FRA,DF,9.1,Alavés,La Liga,31.0,30,0.0,0.0,0.0,0,0,0,1161,927,79.84,88.0,87.1,69.7,0,4,0,0.0,0.43,21,38,1653.54,4,7,57.14,1.86,9,1,37,4,0,91,47,65.87,0,104,8.96,0.0,1.67,0.73,0.03,60,60,60,75,93,40,53,74,50,12,87,73,68,92,66,98,96,60,84,56,31,88,74.0,1
Milan-kriniar,SVK,DF,30.8,Inter,Serie A,27.0,35,0.09,0.12,0.38,0,0,3,2132,1988,93.25,94.4,95.2,87.1,0,2,2,100.0,0.8,25,41,2136.75,11,13,84.62,2.38,3,0,46,25,0,67,47,58.77,0,97,4.55,0.0,1.66,0.8,0.0,80,79,85,55,57,89,90,96,85,25,84,78,68,96,77,85,61,81,56,92,55,80,74.0,1
Koray-Günter,GER,DF,33.3,Hellas Verona,Serie A,27.0,30,0.0,0.0,0.0,0,0,0,1227,1026,83.62,84.8,89.9,73.8,0,2,0,0.0,0.97,21,35,1603.05,1,2,50.0,3.5,10,0,44,16,1,117,72,61.9,0,129,10.51,0.0,1.83,0.82,0.07,60,60,60,64,97,22,65,80,39,52,96,79,76,96,66,85,98,60,80,56,46,86,74.0,1
David-García,ESP,DF,12.9,Osasuna,La Liga,28.0,35,0.12,0.13,1.0,0,0,4,1421,1176,82.76,85.5,88.4,70.2,0,2,0,0.0,0.96,23,35,2277.23,3,3,100.0,3.0,8,0,62,23,0,159,49,76.45,0,132,9.29,0.0,1.33,0.72,0.03,83,100,90,93,94,25,59,75,100,42,87,73,61,99,72,85,94,91,94,53,71,88,74.0,1
Martin-Erlic,CRO,DF,20.0,Spezia,Serie A,24.0,30,0.07,0.13,0.67,0,0,2,1048,856,81.68,85.1,89.6,66.0,0,3,0,0.0,0.59,22,33,1913.04,2,2,100.0,3.5,5,0,30,21,0,71,50,58.63,0,84,8.02,0.07,2.55,1.57,0.03,83,93,81,54,90,23,64,65,100,52,87,96,90,83,69,85,81,86,72,51,76,80,73.0,1
Martin-Valjent,SVK,DF,10.0,Mallorca,La Liga,26.0,36,0.0,0.0,0.0,0,0,0,1343,1110,82.65,91.9,91.0,65.2,0,1,0,0.0,0.45,18,34,1875.0,1,3,33.33,1.0,4,0,25,12,0,77,38,66.87,0,79,5.88,0.0,1.87,0.88,0.03,60,60,60,79,75,73,70,64,14,5,87,83,75,73,60,85,72,60,77,69,10,72,73.0,1
Gleison-Bremer,BRA,DF,35.7,Torino,Serie A,25.0,33,0.09,0.11,0.3,0,0,3,1403,1195,85.17,85.1,91.0,75.9,1,1,0,0.0,0.28,27,51,1698.11,11,17,64.71,2.18,7,0,71,22,0,154,135,53.27,0,83,5.92,0.0,2.68,0.84,0.0,79,71,85,42,75,23,70,85,63,21,84,80,85,100,80,85,91,78,58,59,42,89,73.0,1
Matthijs-de-Ligt,NED,DF,50.0,Juventus,Serie A,22.0,31,0.1,0.15,0.3,0,0,3,1664,1497,89.96,92.7,94.3,77.4,1,5,1,20.0,0.67,23,38,1796.88,2,5,40.0,2.0,4,1,32,17,0,109,51,68.09,0,54,3.25,0.0,1.62,0.81,0.0,86,71,87,82,31,79,88,87,20,16,84,79,68,86,72,98,72,81,56,85,18,82,73.0,1
Gary-Medel,CHI,DF,0.0,Bologna,Serie A,34.0,33,0.0,0.0,0.0,0,0,0,1647,1474,89.5,95.2,95.3,76.7,1,3,1,33.33,0.45,18,34,1666.67,10,13,76.92,2.46,10,1,39,31,0,37,34,52.21,0,77,4.68,0.0,1.59,0.76,0.0,60,60,60,40,59,92,91,87,80,27,84,76,66,93,60,98,98,60,50,90,54,87,73.0,2
Alexander-Djiku,GHA,DF,46.7,Strasbourg,Ligue 1,27.0,31,0.03,0.07,0.14,0,0,1,1616,1371,84.84,90.8,89.8,71.1,0,11,3,27.27,1.44,40,65,1843.32,9,11,81.82,2.73,10,1,46,30,0,74,30,71.18,0,73,4.52,0.0,1.54,0.4,0.0,69,63,64,87,56,63,65,76,84,34,84,46,55,96,93,98,98,65,72,68,59,96,73.0,1
Gian-Marco-Ferrari,ITA,DF,36.0,Sassuolo,Serie A,30.0,36,0.03,0.04,0.11,0,0,1,2225,2017,90.65,93.4,93.1,80.7,0,3,1,33.33,1.1,11,22,1746.03,6,9,66.67,1.89,6,1,26,39,0,108,50,68.35,0,88,3.96,0.0,1.44,0.84,0.06,63,61,64,83,46,84,81,91,70,12,95,80,68,75,39,98,87,63,64,85,41,75,73.0,1
Brendan-Chardonnet,FRA,DF,46.2,Brest,Ligue 1,27.0,32,0.1,0.23,0.5,0,0,3,1250,1045,83.6,90.4,93.6,69.2,0,3,1,33.33,0.57,30,46,1948.05,0,1,0.0,0.0,6,1,26,26,0,90,45,66.67,0,44,3.52,0.0,1.74,1.01,0.03,93,89,87,79,37,61,85,73,6,5,87,88,74,75,84,98,87,90,58,73,6,86,73.0,1
Omar-Colley,GAM,DF,9.1,Sampdoria,Serie A,29.0,32,0.0,0.0,0.0,0,0,0,1424,1199,84.2,89.6,91.7,62.7,0,0,0,,0.92,37,54,2090.4,3,4,75.0,3.25,6,1,27,32,0,82,46,64.05,0,88,6.18,0.0,1.61,0.75,0.03,60,60,60,68,77,55,75,59,79,47,87,75,67,77,91,98,87,60,72,63,63,88,72.0,1
Catena,ESP,DF,27.3,Rayo Vallecano,La Liga,27.0,36,0.06,0.09,0.33,0,0,2,1670,1382,82.75,87.6,91.2,71.5,2,5,0,0.0,0.94,22,36,2200.0,6,10,60.0,1.9,8,0,27,16,0,129,53,70.89,0,98,5.87,0.0,1.39,0.75,0.06,75,78,77,87,75,37,71,77,56,13,95,75,65,77,69,85,94,77,81,62,34,81,72.0,1
Nico-Elvedi,SUI,DF,7.1,M'Gladbach,Bundesliga,25.0,28,0.04,0.07,1.0,0,0,1,1704,1588,93.19,91.3,95.6,92.6,0,0,0,,0.7,24,46,1411.76,1,3,33.33,1.33,3,1,22,23,0,91,50,64.56,0,74,4.34,0.0,1.93,0.89,0.04,69,100,70,70,52,68,92,97,14,7,89,84,75,68,75,98,61,77,59,83,10,73,72.0,1
Tyrone-Mings,ENG,DF,23.8,Aston Villa,Premier League,29.0,36,0.03,0.05,0.2,0,0,1,1580,1272,80.51,85.6,90.8,58.9,3,4,1,25.0,0.82,21,36,2058.82,9,11,81.82,2.27,11,0,29,27,0,95,49,66.01,0,98,6.2,0.0,1.95,0.93,0.08,65,66,64,75,78,26,69,51,84,23,97,85,81,81,66,85,99,65,76,49,54,83,72.0,1
Nicolas-Pallois,FRA,DF,25.0,Nantes,Ligue 1,34.0,30,0.04,0.13,0.5,0,0,1,1109,916,82.6,87.9,88.3,69.5,0,5,0,0.0,0.85,39,64,1659.57,8,11,72.73,3.0,8,1,20,9,0,52,28,64.97,0,59,5.32,0.0,1.88,0.74,0.0,83,89,70,72,68,39,58,73,74,42,84,74,72,65,92,98,94,81,70,57,58,87,72.0,3
José-Fonte,POR,DF,26.1,Lille,Ligue 1,38.0,38,0.0,0.0,0.0,0,0,0,2090,1816,86.89,86.8,92.9,78.2,2,7,2,28.57,0.89,15,28,2027.03,3,4,75.0,2.0,4,0,25,11,0,112,33,77.23,0,122,5.84,0.0,1.39,0.97,0.03,60,60,60,94,74,32,80,88,79,16,87,87,67,73,52,85,72,60,84,67,48,70,72.0,1
Florent-Ogier,FRA,DF,37.5,Clermont Foot,Ligue 1,33.0,30,0.04,0.13,0.33,0,0,1,1479,1252,84.65,90.8,89.9,68.0,0,2,0,0.0,1.15,17,32,1428.57,5,6,83.33,3.17,6,0,19,13,0,69,50,58.05,0,89,6.02,0.0,2.19,1.07,0.04,83,78,70,53,76,63,65,70,85,45,89,90,85,62,57,85,87,77,64,66,65,73,72.0,1
Mohammed-Salisu,GHA,DF,32.0,Southampton,Premier League,23.0,34,0.0,0.0,0.0,0,0,0,1780,1377,77.36,86.4,84.3,48.8,0,26,2,7.69,1.36,60,91,2173.91,9,14,64.29,1.93,10,1,49,13,1,128,62,67.36,0,113,6.35,0.0,2.09,0.85,0.03,60,60,60,80,79,29,42,26,63,13,87,81,80,98,99,98,98,60,80,32,38,98,72.0,2
Ben-Gibson,ENG,DF,50.0,Norwich City,Premier League,29.0,28,0.0,0.0,0.0,0,0,0,1302,1064,81.72,91.8,90.9,61.8,0,0,0,,0.65,17,21,2236.84,2,5,40.0,1.4,5,1,14,10,0,67,33,67.04,0,81,6.22,0.0,2.06,1.23,0.0,60,60,60,80,78,72,70,57,20,7,84,93,80,47,57,98,81,58,76,64,13,68,72.0,2
Conor-Coady,ENG,DF,33.3,Wolves,Premier League,29.0,38,0.11,0.33,1.0,0,0,4,1636,1471,89.91,92.7,96.0,80.1,0,2,0,0.0,0.56,18,31,2168.67,1,2,50.0,2.5,4,0,21,3,0,39,29,57.38,0,64,3.91,0.0,1.72,1.34,0.08,98,100,88,51,45,79,93,91,39,29,97,95,80,66,60,85,72,95,48,88,34,71,72.0,2
Max-Kilman,ENG,DF,30.8,Wolves,Premier League,25.0,30,0.03,0.08,0.25,0,0,1,1475,1278,86.64,91.3,92.1,69.4,0,2,0,0.0,0.7,33,53,1864.41,13,17,76.47,2.76,3,0,22,16,0,86,43,66.67,0,77,5.22,0.0,1.74,0.7,0.0,73,70,64,79,66,68,76,73,80,36,84,70,67,68,87,85,61,69,72,72,58,75,72.0,3
Çaðlar-Söyüncü,TUR,DF,12.5,Leicester City,Premier League,26.0,28,0.04,0.13,1.0,0,0,1,1826,1573,86.14,92.8,94.2,58.0,0,5,2,40.0,1.05,30,52,1595.74,6,9,66.67,2.44,5,0,32,15,0,99,53,65.15,0,79,4.33,0.0,2.02,1.05,0.0,83,100,70,72,52,79,87,48,70,26,84,90,78,86,84,85,81,82,60,69,46,81,72.0,1
Reece-Oxford,ENG,DF,28.6,Augsburg,Bundesliga,23.0,30,0.07,0.14,0.5,0,0,2,1134,925,81.57,81.4,89.0,70.1,1,5,0,0.0,0.97,21,34,1842.11,5,5,100.0,3.4,9,0,30,24,0,104,59,63.85,0,80,7.05,0.0,2.07,1.17,0.0,85,89,81,68,85,11,61,75,100,50,84,92,82,83,66,85,96,85,76,49,75,82,72.0,1
Gabriel-Dos-Santos,BRA,DF,40.0,Arsenal,Premier League,24.0,35,0.15,0.17,0.42,0,0,5,2005,1797,89.63,94.7,95.1,68.3,0,4,0,0.0,0.74,37,57,2202.38,3,3,100.0,3.0,8,1,24,43,0,68,38,64.1,0,65,3.24,0.0,1.44,0.82,0.0,89,80,93,69,31,90,90,71,100,42,84,79,64,71,91,98,94,87,50,84,71,88,72.0,1
Joakim-Nilsson,SWE,DF,60.0,Arminia,Bundesliga,28.0,31,0.07,0.4,0.67,0,0,2,1182,985,83.33,88.7,89.8,63.7,0,0,0,,0.49,23,43,1631.21,0,0,,,5,0,38,16,0,105,78,57.31,0,101,8.54,0.0,1.94,0.76,0.03,98,93,81,50,92,47,65,61,100,100,87,76,75,93,72,85,81,91,71,58,100,83,72.0,1
Mamadou-Sakho,FRA,DF,0.0,Montpellier,Ligue 1,32.0,29,0.0,0.0,0.0,0,0,0,1574,1411,89.64,95.1,94.0,69.2,0,0,0,,0.77,21,42,1428.57,9,12,75.0,2.58,3,0,9,7,0,63,39,61.8,0,68,4.32,0.0,2.1,1.29,0.03,60,60,60,63,52,91,86,73,79,31,87,94,83,35,66,85,61,59,57,82,54,61,71.0,1
Maxence-Lacroix,FRA,DF,16.7,Wolfsburg,Bundesliga,22.0,29,0.0,0.0,0.0,0,0,0,1511,1240,82.06,86.9,90.2,69.0,0,5,1,20.0,1.48,26,64,1125.54,30,40,75.0,2.7,5,3,38,29,1,100,54,64.93,0,90,5.96,0.0,1.99,0.54,0.0,60,60,60,71,75,33,67,72,79,33,84,58,68,93,78,100,81,59,72,56,55,87,71.0,1
Obite-N'Dicka,FRA,DF,18.5,Eint Frankfurt,Bundesliga,22.0,32,0.13,0.15,0.8,0,0,4,1851,1578,85.25,91.5,89.9,62.8,4,10,2,20.0,1.04,43,65,2097.56,10,14,71.43,2.5,3,0,49,15,1,141,82,63.21,0,68,3.67,0.0,2.33,0.69,0.06,86,93,91,66,40,70,65,59,73,29,95,69,82,98,95,85,61,90,53,65,51,85,71.0,1
Warmed-Omari,FRA,DF,0.0,Rennes,Ligue 1,22.0,34,0.0,0.0,0.0,0,0,0,1985,1852,93.3,93.6,95.0,92.2,0,2,0,0.0,0.9,20,35,1769.91,12,15,80.0,2.6,6,0,30,15,0,69,27,71.84,0,68,3.43,0.0,1.09,0.58,0.0,60,60,60,88,34,85,90,97,83,31,84,61,53,83,63,85,87,60,61,91,57,80,71.0,1
Sven-Botman,NED,DF,33.3,Lille,Ligue 1,22.0,25,0.12,0.2,0.6,0,0,3,1492,1330,89.14,92.5,93.9,77.7,1,0,0,,1.12,25,36,1736.11,2,4,50.0,3.0,4,0,19,11,0,74,27,73.27,0,62,4.16,0.0,2.16,0.88,0.0,92,91,90,90,50,77,86,88,39,42,84,83,74,62,77,85,72,83,64,77,37,68,71.0,2
Jonathan-Gradit,FRA,DF,0.0,Lens,Ligue 1,29.0,35,0.0,0.0,0.0,0,0,0,2075,1864,89.83,93.3,93.3,74.6,0,8,2,25.0,1.29,32,63,1729.73,13,19,68.42,2.0,7,0,40,41,0,67,45,59.76,0,66,3.18,0.0,1.61,0.88,0.0,60,60,60,58,30,83,83,82,71,16,84,83,69,94,86,85,91,60,44,83,44,89,71.0,2
